updated,link,title,description,labels,collection,recomm
Updated: October.2025,https://zzz.dog/,zzz.dog,"A minimalist, creative, one-page portfolio for a creative developer. This site is a flagship example of interactive design","Flagship Story,Inspiration Hub,Creative Code Library",,
,https://zoom.earth/,Zoom Earth,"A stunning, interactive, real-time map of global weather. It provides high-resolution satellite imagery, and radar and storm tracking","Flagship Story,Live Data API,Geospatial Data",,
,https://z-library.sk/,Z-Library,"A shadow library project for file-sharing scholarly journal articles, academic texts, and general-interest books","Design Playbook,Production Tool",,
,https://www.wto.org/english/res_e/statis_e/statis_e.htm ,WTO Statistics,The official statistics portal for the World Trade Organization. It provides access to a massive database of international trade statistics,Live Data API,,
,https://www.worldmapgenerator.com/en/,World Map Generator,"A simple, web-based tool for creating custom vector and raster maps of the world, continents, and countries","Production Tool,Geospatial Data,Data UI Kit",,
,https://www.who.int/data,WHO Data Hub,"The main data portal for the World Health Organization. This is the gateway to all of WHO's data collections, dashboards, and reports","Live Data API,Geospatial Data",,
,https://www.w3schools.com/,W3Schools,"A ubiquitous, free online learning resource for web development","Design Playbook,Production Tool,Creative Code Library",,
,https://www.visualcinnamon.com/,Visual Cinnamon (Nadieh Bremer),"The portfolio of Nadieh Bremer, an award-winning data visualization designer","Flagship Story,Inspiration Hub,Design Playbook",,
,https://www.ventusky.com/,Ventusky,"A stunning, real-time, 3D map for weather forecasting","Flagship Story,Live Data API,Geospatial Data",,
,https://www.uxmatters.com/,UXmatters,A long-running online magazine that provides insights and inspiration,"Design Playbook,Inspiration Hub",,
,https://www.usgs.gov/,U.S. Geological Survey (USGS),"The official website for the USGS, a primary source for U.S. science and data","Live Data API,Geospatial Data",,
,https://www.unep.org/publications-data,UN Environment Programme Data,The data and publications portal for the UN's leading environmental authority,"Live Data API,Geospatial Data,Flagship Story",,
,https://www.tianditu.gov.cn/,Tianditu (China National Geomatics),"China's official, government-run web mapping service","Geospatial Data,3D & Immersive Asset,Live Data API",,
,https://www.thewayofcode.com/,The Way of Code,A curated platform for learning creative coding and generative art,"Design Playbook,Creative Code Library,Inspiration Hub",,
,https://www.theodinproject.com/,The Odin Project,"A free, open-source, and comprehensive curriculum for learning full-stack","Design Playbook,Creative Code Library,Data Viz Library",,
,https://www.themealdb.com/api.php,The Meal DB API,"A free, crowd-sourced API for meal recipes","Live Data API,Inspiration Hub",,
,https://www.theguardian.com/interactive,The Guardian Interactive,The home for all interactive and data-driven journalism from The Guardian,"Flagship Story,Inspiration Hub,Geospatial Data",,
,https://www.thedataface.com/,The DataFace,The portfolio of a data visualization and storytelling agency,"Flagship Story,Inspiration Hub,Design Playbook",,
,https://www.thecocktaildb.com/api.php,The Cocktail DB API,"A free, crowd-sourced API for cocktail recipes and ingredients","Live Data API,Inspiration Hub",,
,https://www.theatrejs.com/,Theatre.js,A JavaScript animation library for high-fidelity motion graphics,"Creative Code Library,Production Tool,3D & Immersive Asset",,
,https://www.tableau.com/blog,Tableau Blog,The official blog for the Tableau data visualization platform,"Design Playbook,Inspiration Hub",,
,https://www.straitstimes.com/,The Straits Times Interactive,The interactive and data journalism portfolio of The Straits Times,"Flagship Story,Inspiration Hub,Geospatial Data",,
,https://www.sr-seventy.one/,sr-seventy.one,"A minimalist, single-page portfolio for a creative developer","Flagship Story,Inspiration Hub,Creative Code Library",,
,https://www.skeleton.dev/,Skeleton,"A modern, Svelte-based UI toolkit and design system","Data UI Kit,Data Viz Library,Design Playbook",,
,https://www.siteinspire.com/,SiteInspire,A highly curated gallery of the best web and interactive designs,"Inspiration Hub,Design Playbook",,
,https://www.sigmajs.org/,Sigma.js,A JavaScript library dedicated to graph drawing,"Data Viz Library,Creative Code Library",,
,https://www.shadcn-svelte.com/,shadcn-svelte,A 'plug-and-play' Svelte UI component library. It's not a traditional component library,"Data UI Kit,Production Tool,Data Viz Library",,
,https://www.severinoribecca.one/,Severino Ribecca's Portfolio,The personal portfolio of a freelance designer specializing in 3D,"Inspiration Hub,Flagship Story,3D & Immersive Asset",,
,https://www.sdss.org/,Sloan Digital Sky Survey (SDSS),"A massive, multi-decade astronomical survey that has created the most detailed 3D maps","Live Data API,Geospatial Data,Flagship Story",,
,https://www.recraft.ai/,Recraft.ai,A generative AI design tool that allows you to create and edit vector art,"Production Tool,3D & Immersive Asset,Inspiration Hub",,
,https://www.propublica.org/newsapps/,ProPublica News Apps,The data journalism and interactive storytelling arm of ProPublica,"Flagship Story,Inspiration Hub,Design Playbook",,
,https://www.prompthunt.com/,Prompt Hunt,"A platform to discover, create, and share AI art and prompts","Production Tool,Inspiration Hub,3D & Immersive Asset",,
,https://www.perdigallos.com/,Perdigallos Portfolio,The portfolio of a Spanish design studio. Their site is an inspiration hub,"Inspiration Hub,Flagship Story",,
,https://www.palmer-dinnerware.com/,Palmer Dinnerware,A visually-driven e-commerce site showcasing 3D models of dinnerware,"Flagship Story,3D & Immersive Asset,Inspiration Hub",,
,https://www.openbrewerydb.org/,Open Brewery DB,"A free, open-source dataset and API for breweries, brewpubs, and bars",Live Data API,,
,https://www.nutritionix.com/database,Nutritionix Database,"A massive, verified database of nutritional information for foods",Live Data API,,
,https://www.nngroup.com/articles/,Nielsen Norman Group Articles,A foundational library of articles on user experience (UX) and interaction design,Design Playbook,,
,https://www.naturalearthdata.com/,Natural Earth,"A go-to source for public domain, cartographic-grade map data",Geospatial Data,,
,https://www.nationalgeographic.com/,NatGeo: Into the Amazon,A flagship immersive story by National Geographic about the Amazon rainforest,"Flagship Story,Inspiration Hub,Geospatial Data",,
,https://www.mindhyve.ai/,MindHyve,"An AI-powered tool for brainstorming, mind mapping, and creative thinking","Production Tool,Inspiration Hub",,
,https://www.midjourney.com/home,Midjourney,"The official home of Midjourney, a powerful generative AI that creates images","Production Tool,Inspiration Hub,3D & Immersive Asset",,
,https://www.micro.so/,micro,"A stunning, minimalist portfolio for a creative agency. This site is a flagship","Flagship Story,Inspiration Hub,Design Playbook",,
,https://www.mapcustomizer.com/,MapCustomizer,"A simple, free, web-based tool for creating and customizing your own Google Maps","Production Tool,Geospatial Data",,
,https://www.layerchart.com/,LayerChart,"A flagship, 'scrollytelling' data visualization project that explains the technology","Flagship Story,Inspiration Hub,Design Playbook",,
,https://www.lapa.ninja/,Lapa Ninja,A massive gallery of the best landing page designs on the web,"Inspiration Hub,Design Playbook",,
,https://www.kaggle.com/,Kaggle,An online community platform for data scientists and machine learning engineers,"Design Playbook,Production Tool,Live Data API",,
,https://www.kaedim3d.com/,Kaedim 3D,"An AI-powered production tool that converts 2D images, sketches, or text prompts","Production Tool,3D & Immersive Asset",,
,https://www.itsnicethat.com/,It's Nice That,A leading online magazine that champions creativity,"Inspiration Hub,Design Playbook",,
,https://www.iqair.com/app/earth,IQAir Earth,"A real-time, 3D map of global air quality and pollution","Flagship Story,Live Data API,Geospatial Data",,
,https://www.informationisbeautifulawards.com/,Information is Beautiful Awards,The official showcase of the 'Information is Beautiful' Awards,"Flagship Story,Inspiration Hub,Design Playbook",,
,https://www.ideou.com/blogs/inspiration,IDEO U Inspiration Blog,The inspiration blog for IDEO's online school,"Design Playbook,Inspiration Hub",,
,https://www.ideo.com/thinking,IDEO Thinking,A blog and article hub from the global design firm IDEO,"Design Playbook,Inspiration Hub",,
